age,monthly_income,employment_tenure_months,income_variance_6m,total_debt,credit_utilization,num_active_loans,credit_dependency_ratio,on_time_payment_rate_6m,missed_payment_count,payment_discipline_momentum,savings_balance,monthly_expenses,financial_shock_resilience_score,creditworthy
59,46404.31124031791,32,0.2758638608663794,264971.08522930625,0.2407357815460486,1,0.2407357815460486,0.7643391807712029,1,0.040969185539955516,257833.9444557957,19789.58473723776,4.34285012426288,1
49,23152.66929907535,210,0.42575214754263047,161250.14630378204,0.16598945031141962,0,0.16598945031141962,0.6222136501828263,0,-0.010988243757448318,127652.8529590498,14411.380561294525,2.9525253760561623,1
35,34193.317477310855,300,0.46683775721899307,204855.6691858387,0.44089451560396764,6,0.44089451560396764,0.6204067066462771,1,-0.08732780748523765,111170.91825347129,30081.18495615842,1.2318850529596457,1
63,19136.177386106672,181,0.48835560341933953,108864.93319422545,0.07763638199806129,5,0.07763638199806129,0.9583337465476344,3,-0.08834443434939071,109330.05865374545,10760.699200493314,3.386603726921591,1
28,35383.56739379292,240,0.17447754653382885,122470.86644467313,0.5644504106453285,5,0.5644504106453285,0.7851078671467417,3,-0.02679084256841348,58587.798972859375,21656.96227266505,0.9017407657712108,0
41,33678.12052367706,50,0.41062035999832236,321550.92458481615,0.2834089138555514,1,0.2834089138555514,0.7132734687300113,1,0.0020448928170347285,141020.14100650762,16859.340893087065,2.788115181678467,1
59,32970.430324327805,342,0.4681342207763766,258133.42904684323,0.08974255468022527,0,0.08974255468022527,0.9004868285530021,0,0.1424977779708707,70424.13472683723,25857.057266729415,0.9078530753043367,1
39,22871.066898030127,28,0.11588261469482114,149448.3047540791,0.13564472541178285,7,0.13564472541178285,0.8221411873774069,1,0.0877561868768948,100247.94652437032,10677.571659376361,3.1294511608414535,1
43,16859.2835132383,5,0.1277174559142515,61483.90664476957,0.050060996528929605,1,0.050060996528929605,0.7605925130422891,0,-0.03543408484110037,67436.59839217382,6975.074868153069,3.2225879090394374,1
31,12609.283720577983,132,0.2501453480653926,65613.57780555513,0.45053174868861456,3,0.45053174868861456,0.8150164444579086,0,0.15003631763226555,45795.6117672982,8580.052017674072,1.7790813929633682,1
31,21676.524138640107,95,0.2159184573874967,102713.76857407822,0.10743883087498766,1,0.10743883087498766,0.9260463432617025,0,-0.02098792883231446,99254.9466850429,19254.174526229577,1.7182979938859202,1
44,40668.33329614772,345,0.4884789494860863,327137.2554299619,0.1280454825106872,0,0.1280454825106872,0.49780391504541377,5,-0.10102806373065013,100189.48930891912,21864.485700141366,1.527407859409989,1
56,19458.943033787244,81,0.40348433320122823,68947.39213851467,0.214365277761354,3,0.214365277761354,0.8942256291654851,1,0.13222731407134491,41430.6544599801,17068.92471696345,0.8090696216925831,0
60,30153.32970951494,276,0.32388545972126564,221271.5855187576,0.1475017886339566,5,0.14750178863395663,0.9891316133803054,1,0.18317587307030792,7824.831985532707,26183.558279068504,0.09961381474996284,0
44,30871.248491745922,314,0.10852303621828449,284640.6496595555,0.06807425135764163,6,0.06807425135764163,0.7010316097506127,3,-0.06485972439976466,11536.050488559755,19685.00556768027,0.19534081593359076,0
23,19663.62009171562,216,0.11191197451771959,171218.94032602382,0.3252779033381068,5,0.3252779033381068,0.3637724014910971,2,0.009648949563994981,107879.10624303491,10744.221507543254,3.346783800126045,1
